중앙,중앙치매센터,서울특별시 중구 을지로 245 (을지로 6가 18-79) 국립중앙의료원 중앙치매센터 ,1666-0921
광역,서울특별시 광역치매센터,서울시 종로구 대학로 47 이화에수풀 2층,02-3431-7200
광역,부산광역시 광역치매센터,"부산광역시 서구 대신공원로 26, 동아대학교병원 센터동 10층",051-240-2560
광역,대구광역시 광역치매센터,대구광역시 북구 호국로 807 칠곡경북대학교병원 2층,053-323-6321
광역,인천광역시 광역치매센터,인천광역시 부평구 동수로 56 가톨릭대학교인천성모병원 행정연구동 1층,032-472-2027
광역,광주광역시 광역치매센터,광주 동구 제봉로 27 (학동) 한일빌딩 4층,062-226-2182
광역,대전광역시 광역치매센터,대전광역시 중구 문화로 282 충남대병원 노인보건의료센터 2층,042-280~8965
광역,울산광역시 광역치매센터,"울산 중구 태화로 240 (태화동, 동강병원남관) 6층",052-241-1591
광역,세종특별자치시 광역치매센터,세종특별자치시 조치원읍 수원지1길 16,044-861-8540
광역,경기도 광역치매센터,경기도 수원시 장안구 경수대로 1150번지 경기도 인재개발원 내 신관1층,031-271-7021
광역,강원도 광역치매센터,강원도 춘천시 백령로 156 강원대학교병원 암노인보건의료센터 7508호,033-257-9164
광역,충청북도 광역치매센터,"충북 청주시 서원구 1순환로 767 (개신동, 지오빌딩) 3층",043-269-6891
광역,충청남도 광역치매센터,"충남 천안시 동남구 망향로 195 (안서동, 유니온빌딩) 1층 충청남도 광역치매센터",041-550-7400
광역,전라북도 광역치매센터,"전라북도 전주시 덕진구 견훤로 393, 혜성빌딩 2층",063-247-6082
광역,전라남도 광역치매센터,전라남도 순천시 순광로 221 순천 성가롤로병원 암센터 1층,061-726-6980
광역,경상북도 광역치매센터,경상북도 경주시 동대로 87 동국대경주병원 본관 5층,054-777-6400
광역,경상남도 광역치매센터,경상남도 진주시 강남로 79. 경상대학교병원 응급센터 B1,055-750-9577
광역,제주특별자치도 광역치매센터,제주특별자치도 제주시 아란13길 15 제주대학교병원,064-717-2355
안심센터,종로구 치매안심센터,"서울 종로구 평창문화로 50 (평창동, 종로구치매안심센터) 종로구치매안심센터",02-3675-9001
안심센터,중구 치매안심센터,"서울 중구 퇴계로 460 (신당동, 중구구민복지관) 11층",02-2238-3400
안심센터,용산구 치매안심센터,"서울 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) 보건소 지하2층",02-790-1541
안심센터,성동구 치매안심센터,"서울 성동구 왕십리로5길 3 (성수동1가, 성수1가제2동 공공복합청사) 5층",02-499-8071
안심센터,광진구 치매안심센터,"서울 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터) 3층 광진구치매안심센터",02-450-1381
안심센터,동대문구 치매안심센터,"서울 동대문구 홍릉로 81 (청량리동) 홍릉문화복지센터 1,2층",02-957-3062
안심센터,중랑구 치매안심센터,"서울 중랑구 봉화산로 190 (신내동, 신내2동 관상복합청사) 6층",02-435-7540
안심센터,성북구 치매안심센터,"서울 성북구 화랑로 63 (하월곡동, 성북구보건소) 5층",02-918-2223
안심센터,강북구 치매안심센터,"서울 강북구 삼양로19길 154 (미아동, 강북구보건소삼각산분소) 2층 강북구치매안심센터",02-991-9830
안심센터,도봉구 치매안심센터,"서울 도봉구 마들로 650 (방학동, 도봉월드상가) 4층 도봉구치매안심센터",02-955-3591
안심센터,노원구 치매안심센터,"서울 노원구 노해로 437 (상계동, 노원구청) 노원구청 5층",02-911-7778
안심센터,은평구 치매안심센터,"서울 은평구 연서로34길 11 (불광동, 보건분소) 불광보건분소 1층",02-388-8233
안심센터,서대문구 치매안심센터,"서울 서대문구 연희로 290 (홍은동, 서대문보건소별관우리들) 서대문구치매안심센터",02-379-0183
안심센터,마포구 치매안심센터,서울 마포구 대흥로24길 50 (염리동) 3층 치매안심센터,02-3272-1578
안심센터,양천구 치매안심센터,"서울 양천구 남부순환로 407 (신월동) 신월보건지소 3,4층",02-2698-8680
안심센터,강서구 치매안심센터,서울 강서구 화곡로 371 (등촌동) 3층,02-3663-0943
안심센터,구로구 치매안심센터,"서울특별시 구로구 디지털로 243, 2층(구로동, 지하이시티 2층) 213호 구로구치매안심센터",02-2612-7041~4
